trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.7136581510865613}",20,0,-81.62057049806974,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.7079488858778687}",25,0,-41.22290638200174,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7022852947908458}",25,0,-58.925035031056126,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.696667012432519}",20,8,-83.11365632732263,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.6910936763330588}",25,0,-123.4714657713913,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6855649269223943}",25,0,-45.00487704612772,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6800804075070151}",25,0,-155.26601581681803,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.674639764246959}",30,0,-141.8171455286224,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.6692426461329833}",25,11,-115.65778156581835,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.6638887049639195}",25,0,1.8675862329096902,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.6585775953242081}",20,13,4.812666199664971,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.6533089745616144}",20,0,-91.75658738804847,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.6480825027651215}",25,0,-67.47225431674877,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.6428978427430005}",25,0,-44.928102571349065,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.6377546600010565}",20,0,-43.8071252908384,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.632652622721048}",20,0,-114.78717671323408,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.6275914017392796}",20,0,-20.468786773612052,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.6225706705253654}",20,0,-14.895312867106767,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6175901051611625}",25,0,-47.849589028168694,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6126493843198733}",25,13,-65.90488656193686,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.6077481892453143}",20,12,-28.72078399721793,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.6028862037313517}",25,6,-161.25184359336512,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 3}",1
64,False,"{'a': 0.5, 'e': 0.5980631141015009}",20,0,-114.98600652092429,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.5932786091886889}",25,11,-9.566030019090746,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5885323803151794}",20,0,-80.2621390698154,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5838241212726579}",25,2,-151.46445837265563,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 3}",1
68,False,"{'a': 0.5, 'e': 0.5791535283024767}",25,0,-47.38817025685432,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5745203000760568}",20,14,6.32298363948939,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.5699241376754484}",20,0,-23.563849709206877,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.5653647445740447}",25,13,-34.43064511394816,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.5608418266174524}",30,11,-93.74430915508172,"{0: 12, 1: 1, 2: 1, 3: 5, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.5563550920045128}",20,6,-55.650932827658806,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.5519042512684768}",20,0,-51.845121839835635,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.5474890172583289}",25,0,-40.9787116068497,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.5431091051202622}",30,0,20.441119537842035,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.5387642322793001}",20,12,1.1697648831312153,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.5344541184210657}",25,5,-68.40675508979177,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.5301784854736972}",25,1,-38.96613797731061,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5259370575899076}",20,0,-50.36350787699039,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5217295611291883}",25,4,-52.7992602808696,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.5175557246401549}",25,0,-26.55435108089338,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.5134152788430336}",25,0,-65.94874141717305,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.5093079566122893}",20,0,-42.787606220379026,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.505233492959391}",30,8,20.73626278465984,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5011916250157159}",30,0,-168.8601951701917,"{0: 18, 1: 4, 2: 3, 3: 3, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.49718209201559016}",25,8,-17.03557948761745,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.49320463527946545}",20,13,-6.969389012757711,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.48925899819722973}",30,17,-18.702435153918742,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4853449262116519}",20,2,-6.202665366452114,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.48146216680195864}",30,3,-74.33601319698805,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.477610469467543}",20,0,24.72568925034267,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.47378958571180263}",25,8,-51.37529752809611,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.4699992690261082}",20,0,-118.76175010881606,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.4662392748738994}",35,22,0.8570315515438711,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.46250936067490817}",20,15,2.7936761218674366,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.4588092857895089}",20,6,-42.408098337567715,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.45513881150319285}",25,7,-63.34048824454826,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.4514977010111673}",25,0,-118.15689494476811,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
100,False,"{'a': 0.5, 'e': 0.447885719403078}",20,10,-4.621333825021488,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.44430263364785333}",25,0,-60.81795460000755,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.4407482125786705}",20,0,-38.959662947347184,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.43722222687804113}",20,5,-35.10391213368054,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.4337244490630168}",20,5,9.31649930281633,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.43025465347051267}",25,8,17.912979836055964,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.4268126162427486}",20,6,-54.48381892047355,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
